# Observable End terrain around two small outer islands.
# Seed: 2714024796 (signed -1580942500).
# Format: X Y Z 1=end-stone, 0=air.
-1020 64 -903 0
-1020 65 -903 0
-1020 66 -903 0
-1020 67 -903 0
-1020 68 -903 0
-1020 69 -903 0
-1020 70 -903 0
-1020 71 -903 0
-1020 72 -903 0
-1019 64 -903 0
-1019 65 -903 0
-1019 66 -903 0
-1019 67 -903 0
-1019 68 -903 0
-1019 69 -903 0
-1019 70 -903 0
-1019 71 -903 0
-1019 72 -903 0
-1018 64 -903 0
-1018 65 -903 0
-1018 66 -903 0
-1018 67 -903 0
-1018 68 -903 0
-1018 69 -903 0
-1018 70 -903 0
-1018 71 -903 0
-1018 72 -903 0
-1017 64 -903 0
-1017 65 -903 0
-1017 66 -903 0
-1017 67 -903 0
-1017 68 -903 0
-1017 69 -903 0
-1017 70 -903 0
-1017 71 -903 0
-1017 72 -903 0
-1016 64 -903 0
-1016 65 -903 0
-1016 66 -903 0
-1016 67 -903 0
-1016 68 -903 0
-1016 69 -903 0
-1016 70 -903 0
-1016 71 -903 0
-1016 72 -903 0
-1015 64 -903 0
-1015 65 -903 0
-1015 66 -903 0
-1015 67 -903 0
-1015 68 -903 0
-1015 69 -903 0
-1015 70 -903 0
-1015 71 -903 0
-1015 72 -903 0
-1014 64 -903 0
-1014 65 -903 0
-1014 66 -903 0
-1014 67 -903 0
-1014 68 -903 0
-1014 69 -903 0
-1014 70 -903 0
-1014 71 -903 0
-1014 72 -903 0
-1013 64 -903 0
-1013 65 -903 0
-1013 66 -903 0
-1013 67 -903 0
-1013 68 -903 0
-1013 69 -903 0
-1013 70 -903 0
-1013 71 -903 0
-1013 72 -903 0
-1012 64 -903 0
-1012 65 -903 0
-1012 66 -903 0
-1012 67 -903 0
-1012 68 -903 0
-1012 69 -903 0
-1012 70 -903 0
-1012 71 -903 0
-1012 72 -903 0
-1011 64 -903 0
-1011 65 -903 0
-1011 66 -903 0
-1011 67 -903 0
-1011 68 -903 0
-1011 69 -903 0
-1011 70 -903 0
-1011 71 -903 0
-1011 72 -903 0
-1010 64 -903 0
